"id","age","gen","smp","Bew 01","bew_02","BEW 03"
501,28,0,1,7,7,7
502,25,1,0,3,2,3
503,21,0,1,7,7,7
505,20,0,0,6,6,6
506,24,0,0,1,7,4
507,51,1,0,2,2,1
508,25,1,1,6,6,6
509,24,1,0,6,5,5
511,24,1,1,7,7,7
512,26,0,1,6,7,6
515,28,0,0,6,5,5
516,29,1,0,6,5,5
517,25,0,0,6,6,6
518,25,1,1,7,7,7
519,27,1,0,6,5,6
522,25,0,0,5,6,5
524,23,0,0,7,4,6
525,23,0,0,6,7,7
527,26,1,0,3,3,3
528,25,1,1,7,7,7
530,24,0,1,6,6,6
531,26,0,1,5,6,5
542,27,0,0,7,7,7
543,20,0,0,4,3,1
